,time,beam,diff,total,n,B,G_on,solar_time,hour_angle,declination,cos_zen,altitude,azimuth,I_slope_beam,I_slope_diffuse,I_slope_reflect,I_slope_total,R_b_ave,start_hour_angle,end_hour_angle
0,2021-01-01 00:00:00,0.0,0.0,0.0,1,0.0,1412.1043163185625,2021-01-01 00:00:00,-180.0,-23.011636727869238,-0.9679074465162458,-73.60329999,149.94512475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-01-01 01:00:00,0.0,0.0,0.0,1,0.0,1412.1043163185625,2021-01-01 01:00:00,-165.0,-23.011636727869238,-0.9430478901415217,-74.52904173,201.72049136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-01-01 02:00:00,0.0,0.0,0.0,1,0.0,1412.1043163185625,2021-01-01 02:00:00,-150.0,-23.011636727869238,-0.8701633587019276,-66.75267461,237.28879783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-01-01 03:00:00,0.0,0.0,0.0,1,0.0,1412.1043163185625,2021-01-01 03:00:00,-135.0,-23.011636727869238,-0.7542208125676886,-55.84464963,255.22866417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-01-01 04:00:00,0.0,0.0,0.0,1,0.0,1412.1043163185625,2021-01-01 04:00:00,-120.0,-23.011636727869238,-0.603121544653736,-44.11524177,266.63580694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-01-01 05:00:00,0.0,0.0,0.0,1,0.0,1412.1043163185625,2021-01-01 05:00:00,-105.0,-23.011636727869238,-0.42716272036505987,-32.24296119,275.62256378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-01-01 06:00:00,0.0,0.0,0.0,1,0.0,1412.1043163185625,2021-01-01 06:00:00,-90.0,-23.011636727869238,-0.23833564279122657,-20.53670356,283.79733107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-01-01 07:00:00,0.0,0.0,0.0,1,0.0,1412.1043163185625,2021-01-01 07:00:00,-75.0,-23.011636727869238,-0.04950856521739347,-9.2320366,291.99642872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-01-01 08:00:00,29.984266857251285,39.57464479182527,69.55891164907655,1,0.0,1412.1043163185625,2021-01-01 08:00:00,-60.0,-23.011636727869238,0.12645025907128302,1.41244357,300.80697958,30.23027452593011,39.57461465401746,3.1783276216579276e-05,69.80492096322378,1.0082045584055803,-67.5,-52.5
9,2021-01-01 09:00:00,126.60074130115387,68.99210990547583,195.5928512066297,1,0.0,1412.1043163185625,2021-01-01 09:00:00,-45.0,-23.011636727869238,0.2775495269852353,11.05996525,310.74116009,127.1652243483053,68.9920573649929,8.937146180853352e-05,196.15737108476,1.004458765733517,-52.5,-37.5
10,2021-01-01 10:00:00,233.60177894690102,81.9027296645705,315.5045086114715,1,0.0,1412.1043163185625,2021-01-01 10:00:00,-30.0,-23.011636727869238,0.3934920731194743,19.25310426,322.2559653,234.4283791423455,81.90266729209087,0.00014416221742175059,316.33119059665376,1.0035385012869802,-37.5,-22.5
11,2021-01-01 11:00:00,308.61798229545275,87.73943802998588,396.3574203254386,1,0.0,1412.1043163185625,2021-01-01 11:00:00,-15.0,-23.011636727869238,0.4663766045590685,25.40242628,335.62294525,309.6038829903808,87.73937121259978,0.00018110601606661955,397.3434353089966,1.0031945665887485,-22.5,-7.5
12,2021-01-01 12:00:00,335.26492443273787,89.41849878028093,424.6834232130188,1,0.0,1412.1043163185625,2021-01-01 12:00:00,0.0,-23.011636727869238,0.4912361609337925,28.86660456,350.64418209999997,336.3044572875336,89.41843068421727,0.00019404890364987481,425.72308202065454,1.0031006311100232,-7.5,7.5
